Type,Message,,,
normal text,For fear of fainting with the of all that housework you just did? Quick have a cuppa,,,
it may be a spam message,Thanks for your subscription to Ringtone UK your mobile will be charged ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½5/month Please confirm by replyin,,,
normal text,Yup... Ok i go home look at the timings then i msg ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½_ again... Xuhui going to learn on 2nd may to,,,
normal text,"Oops, I'll let you know when my roommate's done",,,
normal text,I see the letter B on my car,,,
normal text,Anything lor... U decide...,,,
normal text,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,,,
normal text,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,,,
normal text,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",,,
it may be a spam message,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,,,
normal text,WHO ARE YOU SEEING?,,,
normal text,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,,,
normal text,No calls..messages..missed calls,,,
normal text,Didn't you get hep b immunisation in nigeria.,,,
normal text,"Fair enough, anything going on?",,,
normal text,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",,,
normal text,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,,,
normal text,What you thinked about me. First time you saw me in class.,,,
normal text,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",,,
normal text,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,,,
normal text,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",,,
it may be a spam message,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,,,
normal text,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,,,
it may be a spam message,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",,,
normal text,"Sorry, I'll call later in meeting.",,,
normal text,Tell where you reached,,,
normal text,Yes..gauti and sehwag out of odi series.,,,
normal text,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,,,
normal text,Ha ha ha good joke. Girls are situation seekers.,,,
normal text,Its a part of checking IQ,,,
normal text,"Sorry my roommates took forever, it ok if I come by now?",,,
normal text,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,,,
it may be a spam message,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",,,
normal text,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,
it may be a spam message,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½1000. To claim txt DIS to 87121 1",,,
it may be a spam message,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",,,
normal text,I plane to give on this month end.,,,
normal text,Wah lucky man... Then can save money... Hee...,,,
normal text,Finished class where are you.,,,
normal text,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,
normal text,K..k:)where are you?how did you performed?,,,
normal text,U can call me now...,,,
normal text,I am waiting machan. Call me once you free.,,,
normal text,Thats cool. i am a gentleman and will treat you with dignity and respect.,,,
normal text,I like you peoples very much:) but am very shy pa.,,,
normal text,Does not operate after  &lt;#&gt;  or what,,,
normal text,Its not the same here. Still looking for a job. How much do Ta's earn there.,,,
normal text,"Sorry, I'll call later",,,
normal text,K. Did you call me just now ah? ,,,
normal text,Ok i am on the way to home hi hi,,,
normal text,You will be in the place of that man,,,
normal text,Yup next stop.,,,
normal text,"I call you later, don't have network. If urgnt, sms me.",,,
normal text,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,,,
normal text,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,,,
normal text,I'm really not up to it still tonight babe,,,
normal text,"Ela kano.,il download, come wen ur free..",,,
normal text,Yeah do! Donï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,,,
normal text,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,,,
normal text,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,
it may be a spam message,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,,,
normal text,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,,,
it may be a spam message,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",
normal text,Watching telugu movie..wat abt u?,,,
normal text,i see. When we finish we have loads of loans to pay,,,
normal text,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""normal text""",,,
normal text,Please don't text me anymore. I have nothing else to say.,,,
normal text,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,,,
normal text,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,
normal text,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
normal text,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,
normal text,Umma my life and vava umma love you lot dear,,,
normal text,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,,,
normal text,"Aight, I'll hit you up when I get some cash",,,
normal text,How would my ip address test that considering my computer isn't a minecraft server,,,
normal text,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,,,
normal text,Dont worry. I guess he's busy.,,,
normal text,What is the plural of the noun research?,,,
normal text,Going for dinner.msg you after.,,,
normal text,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,,,
it may be a spam message,GENT! We are trying to contact you. Last weekends draw shows that you won a ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½1000 prize GUARANTEED. Call 0,,,
normal text,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",,,
normal text,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
it may be a spam message,You are a winner U have been specially selected 2 receive ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½1000 or a 4* holiday (flights inc) speak ,,,
normal text,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,,,
normal text,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,,,
it may be a spam message,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,,,
it may be a spam message,URGENT! Your Mobile No. was awarded ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½2000 Bonus Caller Prize on 5/9/03 This is our final try to contact ,,,
normal text,here is my new address -apples&pairs&all that malarky,,,
it may be a spam message,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,,,
normal text,I am going to sao mu today. Will be done only at 12 ,,,
normal text,ýý predict wat time ý_'ll finish buying?,,,
normal text,"Good stuff, will do.",,,
normal text,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",,,
normal text,Are you there in room.,,,
normal text,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,,,
normal text,K..k:)how much does it cost?,,,
normal text,I'm home.,,,
normal text,"Dear, will call Tmorrow.pls accomodate.",,,
normal text,First answer my question.,,,
it may be a spam message,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ï¿½ï¿½ï¿½ï¿½ï¿½ï,,,
it may be a spam message,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,,,
normal text,I only haf msn. It's yijue@hotmail.com,,,
normal text,He is there. You call and meet him,,,
normal text,No no. I will check all rooms befor activities,,,
it may be a spam message,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,,,
normal text,Got c... I lazy to type... I forgot ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½_ in lect... I saw a po,,,
normal text,"K, text me when you're on the way",,,
normal text,"Sir, Waiting for your mail.",,,
normal text,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",,,
normal text,I know you are. Can you pls open the back?,,,
normal text,Yes see ya not on the dot,,,
normal text,Whats the staff name who is taking class for us?,,,
it may be a spam message,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",,,
normal text,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,,,
normal text,K..i deleted my contact that why?,,,
normal text,Sindu got job in birla soft ..,,,
normal text,The wine is flowing and i'm i have nevering..,,,
normal text,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,,,
normal text,Ok... Ur typical reply...,,,
normal text,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
normal text,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",,,
normal text,Aaooooright are you at work?,,,
normal text,I'm leaving my house now...,,,
normal text,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",,,
it may be a spam message,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,,,
it may be a spam message,You are a winner U have been specially selected 2 receive ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½1000 cash or a 4* holiday (flights,,,
normal text,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,,
normal text,New car and house for my parents.:)i have only new job in hand:),,,
normal text,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,,,
it may be a spam message,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,,,
it may be a spam message,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,,
normal text,I place all ur points on e cultures module already.,,,
it may be a spam message,URGENT! We are trying to contact you. Last weekends draw shows that you have won a ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½900 prize GUARANTEED,,,
normal text,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",,,
normal text,Great escape. I fancy the bridge but needs her lager. See you tomo ,,,
normal text,Yes :)it completely in out of form:)clark also utter waste.,,,
normal text,"Sir, I need AXIS BANK account no and bank address.",,,
normal text,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",,,
normal text,What time you coming down later? ,,,
normal text,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",,,
normal text,"Well, i'm gonna finish my bath now. Have a good...fine night.",,,
normal text,Let me know when you've got the money so carlos can make the call,,,
normal text,U still going to the mall?,,,
normal text,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",,,
normal text,Text her. If she doesnt reply let me know so i can have her log in,,,
normal text,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,
normal text,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,
normal text,Lol no. U can trust me.,,,
normal text,ok. I am a gentleman and will treat you with dignity and respect.,,,
normal text,"He will, you guys close?",,,
normal text,Going on nothing great.bye,,,
normal text,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,
normal text,"Haha awesome, be there in a minute",,,
it may be a spam message,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,,,
normal text,Have you got Xmas radio times. If not i will get it now,,,
normal text,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,,
it may be a spam message,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,,,
normal text,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,,
normal text,Hi :)finally i completed the course:),,,
normal text,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,,,
normal text,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,
normal text,Gud mrng dear hav a nice day,,,
normal text,Did u got that persons story,,,
normal text,is your normal textster dead? Hey so tmr i meet you at 1pm orchard mrt? ,,,
normal text,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,,,
normal text,"Found it, ENC  &lt;#&gt; , where you at?",,,
normal text,I sent you  &lt;#&gt;  bucks,,,
normal text,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,,
normal text,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,
normal text,Goodmorning sleeping ga.,,,
normal text,U call me alter at 11 ok.,,,
normal text,ýý say until like dat i dun buy ericsson oso cannot oredi lar...,,,
normal text,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
normal text,"Aight yo, dats straight dogg",,,
normal text,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,,,
normal text,Both :) i shoot big loads so get ready!,,,
normal text,"What's up bruv, hope you had a great break. Do have a rewarding semester.",,,
normal text,Home so we can always chat,,,
normal text,K:)k:)good:)study well.,,,
normal text,Yup... How ï¿½ï¿½ï¿½ï¿½ï,,,
normal text,Sounds great! Are you home now?,,,
normal text,Finally the match heading towards draw as your prediction.,,,
normal text,Tired. I haven't slept well the past few nights.,,,
normal text,Easy ah?sen got selected means its good..,,,
normal text,I have to take exam with march 3,,,
normal text,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,,,
normal text,Ok no prob. Take ur time.,,,
normal text,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,,
normal text,"Sorry, I'll call later",,,
normal text,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,,,
it may be a spam message,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",,,
normal text,Would really appreciate if you call me. Just need someone to talk to.,,,
it may be a spam message,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",,,
normal text,Hey company elama po mudyadhu.,,,
normal text,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",,,
normal text,Dear good morning now only i am up,,,
normal text,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,,,
normal text,Dear we are going to our rubber place,,,
normal text,"Sorry battery died, yeah I'm here",,,
normal text,Yes:)here tv is always available in work place..,,,
it may be a spam message,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,,,
normal text,I have printed it oh. So  &lt;#&gt;  come upstairs,,,
normal text,Or ill be a little closer like at the bus stop on the same street,,,
normal text,Where are you?when wil you reach here?,,,
normal text,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
it may be a spam message,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,,,
normal text,Tomarrow final hearing on my laptop case so i cant.,,,
normal text,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,,,
normal text,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",,,
normal text,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",,,
normal text,U don't remember that old commercial?,,,
normal text,Too late. I said i have the website. I didn't i have or dont have the slippers,,,
normal text,I asked you to call him now ok,,,
normal text,Kallis wont bat in 2nd innings.,,,
normal text,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,,,
it may be a spam message,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,,,
normal text,Ranjith cal drpd Deeraj and deepak 5min hold,,,
normal text,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
normal text,What you doing?how are you?,,,
normal text,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",,,
normal text,"I'm back, lemme know when you're ready",,,
normal text,Don't necessarily expect it to be done before you get back though because I'm just now headin out,,,
normal text,Mmm so yummy babe ... Nice jolt to the suzy,,,
normal text,Where are you lover ? I need you ...,,,
it may be a spam message,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,,,
normal text,Iï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,,,
normal text,Yup,,,
normal text,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,,,
normal text,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,,,
it may be a spam message,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,,,
normal text,Why you Dint come with us.,,,
normal text,Same. Wana plan a trip sometme then,,,
normal text,"Not sure yet, still trying to get a hold of him",,,
it may be a spam message,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,,,
normal text,The evo. I just had to download flash. Jealous?,,,
it may be a spam message,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,,,
normal text,"Come to mu, we're sorting out our narcotics situation",,,
normal text,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",,,
it may be a spam message,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
normal text,"Usf I guess, might as well take 1 car",,,
normal text,No objection. My bf not coming.,,,
normal text,Thanx...,,,
normal text,Tell rob to mack his gf in the theater,,,
normal text,"Awesome, I'll see you in a bit",,,
normal text,Just sent it. So what type of food do you like?,,,
normal text,All done? All handed in? Celebrations in full swing yet?,,,
normal text,You got called a tool?,,,
normal text,\Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them," just Keep-in-touch\"" gdeve.."""
normal text,Ok. I asked for money how far,,,
normal text,Okie...,,,
normal text,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",,,
normal text,"K, I might come by tonight then if my class lets out early",,,
normal text,Ok..,,,
normal text,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,,,
normal text,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",,,
normal text,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",,,
normal text,Hey you told your name to gautnormal text ah?,,,
normal text,Haf u found him? I feel so stupid da v cam was working.,,,
normal text,Oops. 4 got that bit.,,,
normal text,Are you this much buzy,,,
normal text,I accidentally deleted the message. Resend please.,,,
it may be a spam message,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,,,
normal text,Unless it's a situation where YOU GO GURL would be more appropriate,,,
normal text,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,,,
normal text,I cant pick the phone right now. Pls send a message,,,
normal text,Need a coffee run tomo?Can't believe it's that time of week already,,,
normal text,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",,,
normal text,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",,,
normal text,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,,,
normal text,He is a womdarfull actor,,,
it may be a spam message,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",,,
normal text,Yup... From what i remb... I think should be can book... ,,,
normal text,Jos ask if u wana meet up?,,,
